T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
15,0.0,1,359979,0.160894,0.152303,5.6407,175638,2219443,92.0864,0.02222
15,0.0,1,359982,0.192176,0.191489,0.3588,568730,2257560,74.8078,0.019891
15,0.0,1,359983,0.272251,0.272251,0.0,677380,2765344,75.5047,-0.023943
15,0.0,2,190137,0.141292,0.141292,0.0,279157,967127,71.1354,0.019922
15,0.0,2,190410,0.442706,0.43374,2.0671,719956,2133582,66.256,0.049248
15,0.0,2,190411,0.293145,0.293145,0.0,572742,1588070,63.9347,0.013694
15,0.0,2,359962,0.332852,0.318707,4.4384,228096,823005,72.285,0.056739
15,0.0,2,359968,0.143561,0.141681,1.3269,444802,1567975,71.6321,-0.031589
15,0.0,2,359972,0.130461,0.130461,0.0,857457,2115802,59.4737,-0.099048
15,0.1,0,146820,0.038271,0.038271,0.0,475545,1740856,72.6833,-0.092002
15,0.1,0,168350,0.235516,0.23352,0.8547,258135,1704624,84.8568,-0.05208
15,0.1,0,190392,0.343725,0.331513,3.6837,355104,2030996,82.5158,0.019362
15,0.1,0,359956,0.294834,0.292846,0.6789,614428,1344127,54.288,-0.067447
15,0.1,0,359965,0.015906,0.015906,0.0,601641,2178742,72.3859,-0.111232
15,0.1,0,359975,0.020519,0.020519,0.0,314608,865797,63.6626,-0.089219
15,0.1,0,359980,0.067476,0.067476,0.0,1259448,3195868,60.5914,-0.148479
15,0.1,1,168757,0.483917,0.48316,0.1567,1064208,1089280,2.3017,0.143299
15,0.1,1,168911,0.395381,0.395381,0.0,794151,1078823,26.3873,0.004244
15,0.1,1,359958,0.174458,0.174458,0.0,1018966,1203058,15.302,0.010507
15,0.1,1,359971,0.074054,0.074054,0.0,992559,2192970,54.7391,-0.001584
15,0.1,1,359979,0.153632,0.152303,0.8726,200803,2219443,90.9525,0.02222
15,0.1,1,359982,0.191489,0.191489,0.0,2257560,2257560,0.0,0.019891
15,0.1,1,359983,0.272251,0.272251,0.0,2765344,2765344,0.0,-0.023943
15,0.1,2,190137,0.141292,0.141292,0.0,488442,967127,49.4956,0.019922
15,0.1,2,190410,0.441339,0.43374,1.752,1495137,2133582,29.9236,0.049248
15,0.1,2,190411,0.293145,0.293145,0.0,786825,1588070,50.454,0.013694
15,0.1,2,359962,0.318707,0.318707,0.0,707436,823005,14.0423,0.056739
15,0.1,2,359968,0.141681,0.141681,0.0,560152,1567975,64.2755,-0.031589
15,0.1,2,359972,0.130461,0.130461,0.0,948243,2115802,55.1828,-0.099048
20,-0.2,0,146820,0.038271,0.038271,0.0,342828,1740856,80.3069,-0.086659
20,-0.2,0,168350,0.235516,0.23352,0.8547,188153,1704624,88.9622,-0.029591
20,-0.2,0,190392,0.374188,0.331513,12.8728,197401,2030996,90.2806,0.028293
20,-0.2,0,359956,0.295673,0.291353,1.4826,163734,1344057,87.8179,-0.041098
20,-0.2,0,359965,0.015906,0.015906,0.0,743178,2178742,65.8896,-0.137942
20,-0.2,0,359975,0.016665,0.016665,0.0,199364,865147,76.9561,-0.053711
20,-0.2,0,359980,0.067476,0.067476,0.0,1114301,3195868,65.1331,-0.104214
20,-0.2,1,168757,0.486913,0.481284,1.1695,152062,1089097,86.0378,0.097167
20,-0.2,1,168911,0.401516,0.395381,1.5517,169242,1078823,84.3123,0.002945
20,-0.2,1,359958,0.177909,0.174458,1.9781,154738,1203016,87.1375,0.021528
20,-0.2,1,359971,0.102302,0.074054,38.1451,208806,2192970,90.4784,0.017564
20,-0.2,1,359979,0.16251,0.152303,6.7018,198983,2219443,91.0346,0.035209
20,-0.2,1,359982,0.192176,0.191489,0.3588,208206,2257560,90.7774,0.038499
20,-0.2,1,359983,0.272901,0.272251,0.2388,226937,2765344,91.7935,-0.03775
20,-0.2,2,190137,0.143959,0.141292,1.8876,143793,966908,85.1286,-0.019871
20,-0.2,2,190410,0.442706,0.43374,2.0671,198246,2133582,90.7083,0.055669
20,-0.2,2,190411,0.294607,0.293145,0.4987,176444,1588070,88.8894,0.001757
20,-0.2,2,359962,0.33539,0.311685,7.6054,136808,821816,83.353,0.022696
20,-0.2,2,359968,0.14374,0.141681,1.4533,261077,1567975,83.3494,-0.049975
20,-0.2,2,359972,0.130461,0.130461,0.0,671376,2115802,68.2685,-0.10678
20,-0.1,0,146820,0.038271,0.038271,0.0,397930,1740856,77.1417,-0.086659
20,-0.1,0,168350,0.235516,0.23352,0.8547,194232,1704624,88.6056,-0.029591
20,-0.1,0,190392,0.374188,0.331513,12.8728,205507,2030996,89.8815,0.028293
20,-0.1,0,359956,0.295673,0.291353,1.4826,168606,1344057,87.4554,-0.041098
20,-0.1,0,359965,0.015906,0.015906,0.0,768184,2178742,64.7419,-0.137942
20,-0.1,0,359975,0.016665,0.016665,0.0,230448,865147,73.3631,-0.053711
20,-0.1,0,359980,0.067476,0.067476,0.0,1291877,3195868,59.5766,-0.104214
20,-0.1,1,168757,0.486913,0.481284,1.1695,152062,1089097,86.0378,0.097167
20,-0.1,1,168911,0.401516,0.395381,1.5517,257862,1078823,76.0978,0.002945
20,-0.1,1,359958,0.177909,0.174458,1.9781,154738,1203016,87.1375,0.021528
20,-0.1,1,359971,0.102302,0.074054,38.1451,208806,2192970,90.4784,0.017564
20,-0.1,1,359979,0.16251,0.152303,6.7018,198983,2219443,91.0346,0.035209
20,-0.1,1,359982,0.192176,0.191489,0.3588,208206,2257560,90.7774,0.038499
20,-0.1,1,359983,0.272901,0.272251,0.2388,226937,2765344,91.7935,-0.03775
20,-0.1,2,190137,0.143959,0.141292,1.8876,143793,966908,85.1286,-0.019871
20,-0.1,2,190410,0.442706,0.43374,2.0671,198246,2133582,90.7083,0.055669
20,-0.1,2,190411,0.294607,0.293145,0.4987,271541,1588070,82.9012,0.001757
20,-0.1,2,359962,0.3241,0.311685,3.9832,136799,821816,83.3541,0.022696
20,-0.1,2,359968,0.143561,0.141681,1.3269,364931,1567975,76.726,-0.049975
20,-0.1,2,359972,0.130461,0.130461,0.0,754626,2115802,64.3338,-0.10678
20,0.0,0,146820,0.038271,0.038271,0.0,477592,1740856,72.5657,-0.086659
20,0.0,0,168350,0.235516,0.23352,0.8547,227068,1704624,86.6793,-0.029591
20,0.0,0,190392,0.369185,0.331513,11.3637,262135,2030996,87.0933,0.028293
20,0.0,0,359956,0.291353,0.291353,-0.0,389276,1344057,71.0372,-0.041098
20,0.0,0,359965,0.015906,0.015906,0.0,794881,2178742,63.5165,-0.137942
20,0.0,0,359975,0.016665,0.016665,0.0,265708,865147,69.2875,-0.053711
20,0.0,0,359980,0.067476,0.067476,0.0,1349582,3195868,57.771,-0.104214
20,0.0,1,168757,0.483917,0.481284,0.547,313410,1089097,71.2229,0.097167
20,0.0,1,168911,0.395381,0.395381,0.0,545053,1078823,49.4771,0.002945
20,0.0,1,359958,0.177909,0.174458,1.9781,501706,1203016,58.296,0.021528
